name,institution,homepage,act,ai,arch,bed,bio,chi,comm,crypt,da,ecom,graph,hpc,ir,log,metrics,mlmining,mobile,mod,nlp,ops,plan,robotics,sec,soft,vision,visualization
Michael Luck,King's College London,https://www.kcl.ac.uk/people/professor-michael-luck,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Mangan,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/michael-mangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Michael Zakharyaschev,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/michael,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
Michel F. Valstar,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/michel.valstar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Michel Steuwer,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Michel_Steuwer.html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Michel Wermelinger,Open University UK,http://stem.open.ac.uk/people/mw4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Michio Honda,University of Edinburgh,https://micchie.net,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Mien Van,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=m.van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mike Fraser,University of Bath,https://researchportal.bath.ac.uk/en/persons/mike-fraser,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Hazas,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/mike-hazas,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mike J. Chantler,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/mike-chantler.htm,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Mike Just,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/mike-just.htm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Miles E. Hansard,Queen Mary University of London,https://www.eecs.qmul.ac.uk/~milesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Milos Nikolic,University of Edinburgh,http://homepages.inf.ed.ac.uk/mnikolic,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Miqing Li,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/li-miqing.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mirco Musolesi,University College London,https://iris.ucl.ac.uk/iris/browse/profile?upi=MMUSO05,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
Mirella Lapata,University of Edinburgh,http://homepages.inf.ed.ac.uk/mlap,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,117,0,0,0,0,0,0,0
Miroslaw Bober,University of Surrey,https://www.surrey.ac.uk/people/miroslaw-bober,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Mohamed Khamis,University of Glasgow,http://mkhamis.com,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Mohan Sridharan,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/sridharan-mohan.aspx,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Muffy Calder,University of Glasgow,http://www.dcs.gla.ac.uk/~muffy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Murdoch James Gabbay,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/murdoch-james-gabbay.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Murray Cole,University of Edinburgh,http://homepages.inf.ed.ac.uk/mic,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Murray Shanahan,Imperial College London,https://www.doc.ic.ac.uk/~mpsha,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Myra S. Wilson,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/mxw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Myrto Arapinis,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Myrto_Arapinis.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Myungjin Lee,University of Edinburgh,http://homepages.inf.ed.ac.uk/mlee23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
Máire O'Neill,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=m.oneill,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadia Bianchi-Berthouze,University College London,https://uclic.ucl.ac.uk/people/nadia-berthouze,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Nafise Sadat Moosavi,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/nafise-sadat-moosavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Nasir M. Rajpoot,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/nasir_rajpoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Natalia Criado,King's College London,https://www.kcl.ac.uk/people/natalia-criado,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalia V. Andrienko,City University of London,https://www.city.ac.uk/people/academics/natalia-andrienko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Natasa Milic-Frayling,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/natasa.milic-frayling,0,1,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nawaz Khan,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/khan-nawaz,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neelakantan R. Krishnaswami,University of Cambridge,https://www.cl.cam.ac.uk/~nk480,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0
Neil C. Audsley,University of York,https://www-users.cs.york.ac.uk/~neil,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil D. Lawrence,University of Cambridge,http://inverseprobability.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0
Neil Ghani,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/neil-ghani/projects,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
Neil Smith,Open University UK,http://stem.open.ac.uk/people/ns938#tab2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
Neil Walkinshaw,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/neil-walkinshaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neill D. F. Campbell,University of Bath,http://cs.bath.ac.uk/~nc537,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,9,1
Neill W. Campbell,University of Bristol,http://www.bristol.ac.uk/engineering/people/neill-w-campbell/index.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Nervo Verdezoto,Cardiff University,https://www.cardiff.ac.uk/people/view/1724100-verdezoto-dias-nervo,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas D. Lane,University of Cambridge,https://www.cst.cam.ac.uk/people/ndl32,0,1,0,0,0,20,0,0,2,0,0,0,0,0,1,2,18,0,0,0,0,0,0,0,1,0
Nicholas Gibbins,University of Southampton,https://www.ecs.soton.ac.uk/people/nmg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas J. P. Race,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/nicholas-race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nicholas R. Jennings,Loughborough University,https://www.lboro.ac.uk/services/vco/smt/vc-prof-jennings/,0,29,0,0,0,4,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Nick Bryan-Kinns,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~nickbk,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick E. Pears,University of York,https://www-users.cs.york.ac.uk/nep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Nick K. Taylor,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/nicholas-taylor.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nicola Paoletti,Royal Holloway University of London,https://pure.royalholloway.ac.uk/portal/en/persons/nicola-paoletti(0e58111e-2613-4480-b179-3c7951c6f25b).html,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Nicolai Kraus,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/kraus-nicolai.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
Nicolai Marquardt,University College London,https://uclic.ucl.ac.uk/people/nicolai-marquardt,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolai N. Vorobjov Jr.,University of Bath,http://people.bath.ac.uk/masnnv,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas E. Gold,University College London,http://www.cs.ucl.ac.uk/staff/N.Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Nicolas Pugeault,University of Exeter,http://emps.exeter.ac.uk/computer-science/staff/np331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0
